fecha_registro,ciudad,barrio_original,barrio_estandarizado,altura_domicilio,tipo_vivienda,integrantes_familia,tipo_mascota,tipo_mascota_[Gatos],tipo_mascota_[Perros],perros_macho,perros_hembra,total_perros,gatos_macho,gatos_hembra,total_gatos,total_mascotas,mascota_castrada,lugar_castracion,lugar_castracion_[En forma particular],lugar_castracion_[Municipio],lugar_castracion_[No se encuentra castrada.],conoce_castracion_gratis,mascotas_vacunadas,mascotas_desparasitadas,conoce_plan_vacunacion,estilo_vida_mascota,estilo_vida_mascota_[Salen solos a la calle],estilo_vida_mascota_[Tienen identificador],estilo_vida_mascota_[Viven dentro de su hogar],frecuencia_callejeros,tipo_animal_abandonado,tipo_animal_abandonado_[Gatos],tipo_animal_abandonado_[Perros],medidas_exigidas_municipio,medidas_exigidas_municipio_[Castraciones masivas],medidas_exigidas_municipio_[Control de identificación],medidas_exigidas_municipio_[Educación],medidas_exigidas_municipio_[No es necesaria la participación del municipio],autopercepcion_responsabilidad
2026-04-13 13:57:00,San Francisco,Ayres del golf,Ayres del Golf,3690,Casa Propia,5,Perros,,Perros,1,0,1,0,0,0,1,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Control de identificación,,Control de identificación,,,Si
2026-04-13 15:00:27,San Francisco,Palmares 4,Palmares 4,1974,Casa en Alquiler,2,Perros,,Perros,0,3,3,0,0,0,3,No,No se encuentra castrada.,,,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
2026-04-13 16:25:15,San Francisco,Dos hermanos ,Dos Hermanos,3800,Casa Propia,2,Perros,,Perros,1,0,1,0,0,0,1,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
2026-04-13 17:01:04,San Francisco,Velez Sarsfield,Vélez Sarsfield,1230,Casa Propia,4,Gatos | Perros,Gatos,Perros,0,1,1,2,0,2,3,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Gatos | Perros,Gatos,Perros,Castraciones masivas | Control de identificación,Castraciones masivas,Control de identificación,,,Si
2026-04-13 17:46:20,San Francisco,Roca,General Roca,798,Casa Propia,4,Perros,,Perros,0,1,1,0,0,0,1,Si,En forma particular,En forma particular,,,Si,Si,Si,No,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas,Castraciones masivas,,,,Si
2026-04-13 19:55:36,San Francisco,Velez Sarfield ,Vélez Sarsfield,1235,Casa Propia,3,Gatos | Perros,Gatos,Perros,1,0,1,0,2,2,3,Si,Municipio,,Municipio,,Si,Si,Si,No,Viven dentro de su hogar,,,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
2026-04-13 21:10:56,San Francisco,Catedral,Catedral,1740,Departamento en Alquiler,2,Gatos | Perros,Gatos,Perros,0,1,1,1,0,1,2,Si,En forma particular | Municipio,En forma particular,Municipio,,Si,Si,Si,Si,Tienen identificador | Viven dentro de su hogar,,Tienen identificador,Viven dentro de su hogar,A veces,Perros,,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-04-15 21:40:25,San Francisco,9 de Septiembre ,9 de Septiembre,1455,Casa Propia,4,Gatos | Perros,Gatos,Perros,0,2,2,1,4,5,7,Si,En forma particular | Municipio,En forma particular,Municipio,,Si,Si,Si,Si,Salen solos a la calle | Viven dentro de su hogar,Salen solos a la calle,,Viven dentro de su hogar,A veces,Gatos,Gatos,,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
2026-04-16 11:10:27,San Francisco,Parque,Barrio Parque,1180,Casa Propia,2,Perros,,Perros,2,0,2,0,0,0,2,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas,Castraciones masivas,,,,Un poco
2026-04-16 19:47:01,San Francisco,Velez Sarsfield,Vélez Sarsfield,1419,Casa Propia,1,Gatos,Gatos,,0,0,0,1,1,2,2,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-04-17 11:51:34,San Francisco,Independencia ,Independencia,286,Casa en Alquiler,4,Perros,,Perros,0,2,2,0,0,0,2,Si,Municipio,,Municipio,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Educación,Castraciones masivas,,Educación,,Si
2026-04-21 10:29:11,San Francisco,Jose hernandez ,José Hernández,660,Casa Propia,4,Perros,,Perros,0,1,1,0,0,0,1,Si,En forma particular,En forma particular,,,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
2026-04-21 13:04:15,San Francisco,9 de septiembre ,9 de Septiembre,1031,Departamento en Alquiler,2,Gatos,Gatos,,0,0,0,1,0,1,1,No,No se encuentra castrada.,,,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,,,Viven dentro de su hogar,Todo el tiempo,Perros,,Perros,Castraciones masivas | Control de identificación | Educación,Castraciones masivas,Control de identificación,Educación,,Si
